"","Year","Song","Artist","War","Min_deaths","Max_deaths","beginning","ending","Combatants","Location","duration","avg_death"
"1","1985","""19""","Paul Hardcastle","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"2","1807","""Mrs McGrath""","folk music","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"3","1991","'1916'","Motörhead","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"4","1966","""7 O'Clock News/Silent Night""","Simon & Garfunkel","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"5","1992","""A Canção do Senhor da Guerra""","Legião Urbana","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"6","2003","""A Cosa Serve La Guerra""","Edoardo Bennato","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"7","2011","""A Hero In Harlan""","Tom T Hall","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"8","2016","""A Matter of Habit""","Moddi","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"9","1989","""Alleluia, the Great Storm Is Over""","John McCutcheon","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"10","2004","""All These Things That I've Done""","The Killers","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"11","2003","""Amerika the Brutal""","Six Feet Under","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"12","1989","""Kill the President""","The Offspring","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"13","1988","""Another Part of Me""","Michael Jackson","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"14","1980","""Army Dreamers""","Kate Bush","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"15","2005","""BYOB""","System of a Down","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"16","1981","""Bang Bang""","Mitch Ryder","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"17","1974","""Billy Don't Be a Hero""","Paper Lace, Bo Donaldson & the Heywoods","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"18","1980","""Generals and Majors""","XTC","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
"19","2011","""Bleed Red""","Ronnie Dunn","General peace / anti-war songs",NA,NA,NA,NA,NA,NA,NA,NA
