"","Year","Song","War","Min_deaths","Max_deaths","beginning","ending","Combatants","Location","duration","avg_death","n_songs_by_war","id"
"1",1860,"""Paddy's Lamentation"" - Unknown","American Civil War",650000,1e+06,1861,1865,"United States vs. Confederate States
","USA",4,825000,34,1
"2",1861,"""The Vacant Chair"" - George F. Root","American Civil War",650000,1e+06,1861,1865,"United States vs. Confederate States
","USA",4,825000,34,2
"3",1861,"""All Quiet Along the Potomac Tonight"" - Ethel Lynn Beers","American Civil War",650000,1e+06,1861,1865,"United States vs. Confederate States
","USA",4,825000,34,3
"4",1863,"""Tenting on the Old Camp Ground"" - Walter Kittredge","American Civil War",650000,1e+06,1861,1865,"United States vs. Confederate States
","USA",4,825000,34,4
"5",1863,"""Who Will Care for Mother Now?"" - Charles Carroll Sawyer","American Civil War",650000,1e+06,1861,1865,"United States vs. Confederate States
","USA",4,825000,34,5
"6",1863,"""Poor Kitty Popcorn"" - Henry C. Work","American Civil War",650000,1e+06,1861,1865,"United States vs. Confederate States
","USA",4,825000,34,6
"7",1865,"""Marching through Georgia (e.g. 1896 version by Gilmore's Band)"" - Henry Clay Work","American Civil War",650000,1e+06,1861,1865,"United States vs. Confederate States
","USA",4,825000,34,7
"8",1895,"""The Songs We Sang Upon the Old Camp Ground"" - H. L. Frisbie","American Civil War",650000,1e+06,1861,1865,"United States vs. Confederate States
","USA",4,825000,34,8
"9",1914,"""I Didn't Raise My Boy to Be a Soldier"" - Peerless Quartet","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07,48,1
"10",1914,"""Stay Down Here Where You Belong"" - Irving Berlin","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07,48,2
"11",1917,"""Der Kaiser von Atlantis"" - Viktor Ullmann","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07,48,3
"12",1936,"""Johnny Johnson (musical)"" - Kurt Weill","World War I",1.6e+07,3e+07,1914,1918,"Allied Powers vs. Central Powers
","Worldwide",4,2.3e+07,48,4
"13",1937,"""Jamie Foyers"" - Ewan MacColl","Spanish Civil War",5e+05,1e+06,1936,1939,"Nationalists vs. Republicans
","Spain",3,750000,9,1
"14",1943,"""Blood on the Risers"" - World War II Paratrooper Song","World War II",56125162,8.5e+07,1939,1945,"Allied powers vs. Axis Powers
","Worldwide",6,70562581,30,1
